"RHSA_ID","Severity","Created_Date","Updated_Date","Public_Date","Synopsis","CVEs","Affected_Packages"
"RHSA-2024:0001","N/A","N/A","N/A","N/A","N/A","CVE-2023-6856, CVE-2023-6857, CVE-2023-6858, CVE-2023-6859, CVE-2023-6860, CVE-2023-6861, CVE-2023-6862, CVE-2023-6863, CVE-2023-6864, CVE-2023-50761, CVE-2023-50762",""
"RHSA-2024:0002","N/A","N/A","N/A","N/A","N/A","CVE-2023-6856, CVE-2023-6857, CVE-2023-6858, CVE-2023-6859, CVE-2023-6860, CVE-2023-6861, CVE-2023-6862, CVE-2023-6863, CVE-2023-6864, CVE-2023-50761, CVE-2023-50762",""
"RHSA-2024:0003","N/A","N/A","N/A","N/A","N/A","CVE-2023-6856, CVE-2023-6857, CVE-2023-6858, CVE-2023-6859, CVE-2023-6860, CVE-2023-6861, CVE-2023-6862, CVE-2023-6863, CVE-2023-6864, CVE-2023-50761, CVE-2023-50762",""
"RHSA-2024:0004","N/A","N/A","N/A","N/A","N/A","CVE-2023-6856, CVE-2023-6857, CVE-2023-6858, CVE-2023-6859, CVE-2023-6860, CVE-2023-6861, CVE-2023-6862, CVE-2023-6863, CVE-2023-6864, CVE-2023-50761, CVE-2023-50762",""
"RHSA-2024:0005","N/A","N/A","N/A","N/A","N/A","CVE-2023-6856, CVE-2023-6857, CVE-2023-6858, CVE-2023-6859, CVE-2023-6860, CVE-2023-6861, CVE-2023-6862, CVE-2023-6863, CVE-2023-6864, CVE-2023-50761, CVE-2023-50762",""
"RHSA-2023:7549","N/A","N/A","N/A","N/A","N/A","CVE-2023-52562, CVE-2023-5178, CVE-2023-2163, CVE-2022-45919, CVE-2022-45884, CVE-2022-45886, CVE-2023-3812, CVE-2023-1192",""
"RHSA-2023:7548","N/A","N/A","N/A","N/A","N/A","CVE-2023-5178, CVE-2023-2163, CVE-2022-45919, CVE-2022-45884, CVE-2022-45886, CVE-2023-3812, CVE-2023-1192",""
