"RHSAID","CreatedDate","UpdatedDate","PackagesImpacted","FixedDate"
"RHSA-2026:2042","N/A","N/A","brotli-1.0.9-9.el9_7.x86_64; brotli-debuginfo-1.0.9-9.el9_7.x86_64; brotli-debugsource-1.0.9-9.el9_7.x86_64; brotli-devel-1.0.9-9.el9_7.x86_64; libbrotli-1.0.9-9.el9_7.x86_64; libbrotli-debuginfo-1.0.9-9.el9_7.x86_64; python3-brotli-1.0.9-9.el9_7.x86_64; python3-brotli-debuginfo-1.0.9-9.el9_7.x86_64","N/A"
"RHSA-2026:1350","N/A","N/A","curl-7.76.1-35.el9_7.3.x86_64; curl-debuginfo-7.76.1-35.el9_7.3.x86_64; curl-debugsource-7.76.1-35.el9_7.3.x86_64; curl-minimal-7.76.1-35.el9_7.3.x86_64; curl-minimal-debuginfo-7.76.1-35.el9_7.3.x86_64; libcurl-7.76.1-35.el9_7.3.x86_64; libcurl-debuginfo-7.76.1-35.el9_7.3.x86_64; libcurl-devel-7.76.1-35.el9_7.3.x86_64; libcurl-minimal-7.76.1-35.el9_7.3.x86_64; libcurl-minimal-debuginfo-7.76.1-35.el9_7.3.x86_64","N/A"
"RHSA-2026:0936","N/A","N/A","glib2-2.68.4-18.el9_7.1.x86_64; glib2-debuginfo-2.68.4-18.el9_7.1.x86_64; glib2-debugsource-2.68.4-18.el9_7.1.x86_64; glib2-devel-2.68.4-18.el9_7.1.x86_64; glib2-devel-debuginfo-2.68.4-18.el9_7.1.x86_64; glib2-doc-2.68.4-18.el9_7.1.noarch; glib2-static-2.68.4-18.el9_7.1.x86_64; glib2-tests-2.68.4-18.el9_7.1.x86_64; glib2-tests-debuginfo-2.68.4-18.el9_7.1.x86_64","N/A"
"RHSA-2026:2786","N/A","N/A","glibc-2.34-231.el9_7.10.x86_64; glibc32-debuginfo-2.34-231.el9_7.10.x86_64; glibc-all-langpacks-2.34-231.el9_7.10.x86_64; glibc-benchtests-2.34-231.el9_7.10.x86_64; glibc-benchtests-debuginfo-2.34-231.el9_7.10.x86_64; glibc-common-2.34-231.el9_7.10.x86_64; glibc-common-debuginfo-2.34-231.el9_7.10.x86_64; glibc-debuginfo-2.34-231.el9_7.10.x86_64; glibc-debugsource-2.34-231.el9_7.10.x86_64; glibc-devel-2.34-231.el9_7.10.x86_64; glibc-doc-2.34-231.el9_7.10.noarch; glibc-gconv-extra-2.34-231.el9_7.10.x86_64; glibc-gconv-extra-debuginfo-2.34-231.el9_7.10.x86_64; glibc-headers-2.34-231.el9_7.10.x86_64; glibc-langpack-aa-2.34-231.el9_7.10.x86_64; glibc-langpack-af-2.34-231.el9_7.10.x86_64; glibc-langpack-agr-2.34-231.el9_7.10.x86_64; glibc-langpack-ak-2.34-231.el9_7.10.x86_64; glibc-langpack-am-2.34-231.el9_7.10.x86_64; glibc-langpack-an-2.34-231.el9_7.10.x86_64; glibc-langpack-anp-2.34-231.el9_7.10.x86_64; glibc-langpack-ar-2.34-231.el9_7.10.x86_64; glibc-langpack-as-2.34-231.el9_7.10.x86_64; glibc-langpack-ast-2.34-231.el9_7.10.x86_64; glibc-langpack-ayc-2.34-231.el9_7.10.x86_64; glibc-langpack-az-2.34-231.el9_7.10.x86_64; glibc-langpack-be-2.34-231.el9_7.10.x86_64; glibc-langpack-bem-2.34-231.el9_7.10.x86_64; glibc-langpack-ber-2.34-231.el9_7.10.x86_64; glibc-langpack-bg-2.34-231.el9_7.10.x86_64; glibc-langpack-bhb-2.34-231.el9_7.10.x86_64; glibc-langpack-bho-2.34-231.el9_7.10.x86_64; glibc-langpack-bi-2.34-231.el9_7.10.x86_64; glibc-langpack-bn-2.34-231.el9_7.10.x86_64; glibc-langpack-bo-2.34-231.el9_7.10.x86_64; glibc-langpack-br-2.34-231.el9_7.10.x86_64; glibc-langpack-brx-2.34-231.el9_7.10.x86_64; glibc-langpack-bs-2.34-231.el9_7.10.x86_64; glibc-langpack-byn-2.34-231.el9_7.10.x86_64; glibc-langpack-ca-2.34-231.el9_7.10.x86_64; glibc-langpack-ce-2.34-231.el9_7.10.x86_64; glibc-langpack-chr-2.34-231.el9_7.10.x86_64; glibc-langpack-ckb-2.34-231.el9_7.10.x86_64; glibc-langpack-cmn-2.34-231.el9_7.10.x86_64; glibc-langpack-crh-2.34-231.el9_7.10.x86_64; glibc-langpack-cs-2.34-231.el9_7.10.x86_64; glibc-langpack-csb-2.34-231.el9_7.10.x86_64; glibc-langpack-cv-2.34-231.el9_7.10.x86_64; glibc-langpack-cy-2.34-231.el9_7.10.x86_64; glibc-langpack-da-2.34-231.el9_7.10.x86_64; glibc-langpack-de-2.34-231.el9_7.10.x86_64; glibc-langpack-doi-2.34-231.el9_7.10.x86_64; glibc-langpack-dsb-2.34-231.el9_7.10.x86_64; glibc-langpack-dv-2.34-231.el9_7.10.x86_64; glibc-langpack-dz-2.34-231.el9_7.10.x86_64; glibc-langpack-el-2.34-231.el9_7.10.x86_64; glibc-langpack-en-2.34-231.el9_7.10.x86_64; glibc-langpack-eo-2.34-231.el9_7.10.x86_64; glibc-langpack-es-2.34-231.el9_7.10.x86_64; glibc-langpack-et-2.34-231.el9_7.10.x86_64; glibc-langpack-eu-2.34-231.el9_7.10.x86_64; glibc-langpack-fa-2.34-231.el9_7.10.x86_64; glibc-langpack-ff-2.34-231.el9_7.10.x86_64; glibc-langpack-fi-2.34-231.el9_7.10.x86_64; glibc-langpack-fil-2.34-231.el9_7.10.x86_64; glibc-langpack-fo-2.34-231.el9_7.10.x86_64; glibc-langpack-fr-2.34-231.el9_7.10.x86_64; glibc-langpack-fur-2.34-231.el9_7.10.x86_64; glibc-langpack-fy-2.34-231.el9_7.10.x86_64; glibc-langpack-ga-2.34-231.el9_7.10.x86_64; glibc-langpack-gd-2.34-231.el9_7.10.x86_64; glibc-langpack-gez-2.34-231.el9_7.10.x86_64; glibc-langpack-gl-2.34-231.el9_7.10.x86_64; glibc-langpack-gu-2.34-231.el9_7.10.x86_64; glibc-langpack-gv-2.34-231.el9_7.10.x86_64; glibc-langpack-ha-2.34-231.el9_7.10.x86_64; glibc-langpack-hak-2.34-231.el9_7.10.x86_64; glibc-langpack-he-2.34-231.el9_7.10.x86_64; glibc-langpack-hi-2.34-231.el9_7.10.x86_64; glibc-langpack-hif-2.34-231.el9_7.10.x86_64; glibc-langpack-hne-2.34-231.el9_7.10.x86_64; glibc-langpack-hr-2.34-231.el9_7.10.x86_64; glibc-langpack-hsb-2.34-231.el9_7.10.x86_64; glibc-langpack-ht-2.34-231.el9_7.10.x86_64; glibc-langpack-hu-2.34-231.el9_7.10.x86_64; glibc-langpack-hy-2.34-231.el9_7.10.x86_64; glibc-langpack-ia-2.34-231.el9_7.10.x86_64; glibc-langpack-id-2.34-231.el9_7.10.x86_64; glibc-langpack-ig-2.34-231.el9_7.10.x86_64; glibc-langpack-ik-2.34-231.el9_7.10.x86_64; glibc-langpack-is-2.34-231.el9_7.10.x86_64; glibc-langpack-it-2.34-231.el9_7.10.x86_64; glibc-langpack-iu-2.34-231.el9_7.10.x86_64; glibc-langpack-ja-2.34-231.el9_7.10.x86_64; glibc-langpack-ka-2.34-231.el9_7.10.x86_64; glibc-langpack-kab-2.34-231.el9_7.10.x86_64; glibc-langpack-kk-2.34-231.el9_7.10.x86_64; glibc-langpack-kl-2.34-231.el9_7.10.x86_64; glibc-langpack-km-2.34-231.el9_7.10.x86_64; glibc-langpack-kn-2.34-231.el9_7.10.x86_64; glibc-langpack-ko-2.34-231.el9_7.10.x86_64; glibc-langpack-kok-2.34-231.el9_7.10.x86_64; glibc-langpack-ks-2.34-231.el9_7.10.x86_64; glibc-langpack-ku-2.34-231.el9_7.10.x86_64; glibc-langpack-kw-2.34-231.el9_7.10.x86_64; glibc-langpack-ky-2.34-231.el9_7.10.x86_64; glibc-langpack-lb-2.34-231.el9_7.10.x86_64; glibc-langpack-lg-2.34-231.el9_7.10.x86_64; glibc-langpack-li-2.34-231.el9_7.10.x86_64; glibc-langpack-lij-2.34-231.el9_7.10.x86_64; glibc-langpack-ln-2.34-231.el9_7.10.x86_64; glibc-langpack-lo-2.34-231.el9_7.10.x86_64; glibc-langpack-lt-2.34-231.el9_7.10.x86_64; glibc-langpack-lv-2.34-231.el9_7.10.x86_64; glibc-langpack-lzh-2.34-231.el9_7.10.x86_64; glibc-langpack-mag-2.34-231.el9_7.10.x86_64; glibc-langpack-mai-2.34-231.el9_7.10.x86_64; glibc-langpack-mfe-2.34-231.el9_7.10.x86_64; glibc-langpack-mg-2.34-231.el9_7.10.x86_64; glibc-langpack-mhr-2.34-231.el9_7.10.x86_64; glibc-langpack-mi-2.34-231.el9_7.10.x86_64; glibc-langpack-miq-2.34-231.el9_7.10.x86_64; glibc-langpack-mjw-2.34-231.el9_7.10.x86_64; glibc-langpack-mk-2.34-231.el9_7.10.x86_64; glibc-langpack-ml-2.34-231.el9_7.10.x86_64; glibc-langpack-mn-2.34-231.el9_7.10.x86_64; glibc-langpack-mni-2.34-231.el9_7.10.x86_64; glibc-langpack-mnw-2.34-231.el9_7.10.x86_64; glibc-langpack-mr-2.34-231.el9_7.10.x86_64; glibc-langpack-ms-2.34-231.el9_7.10.x86_64; glibc-langpack-mt-2.34-231.el9_7.10.x86_64; glibc-langpack-my-2.34-231.el9_7.10.x86_64; glibc-langpack-nan-2.34-231.el9_7.10.x86_64; glibc-langpack-nb-2.34-231.el9_7.10.x86_64; glibc-langpack-nds-2.34-231.el9_7.10.x86_64; glibc-langpack-ne-2.34-231.el9_7.10.x86_64; glibc-langpack-nhn-2.34-231.el9_7.10.x86_64; glibc-langpack-niu-2.34-231.el9_7.10.x86_64; glibc-langpack-nl-2.34-231.el9_7.10.x86_64; glibc-langpack-nn-2.34-231.el9_7.10.x86_64; glibc-langpack-nr-2.34-231.el9_7.10.x86_64; glibc-langpack-nso-2.34-231.el9_7.10.x86_64; glibc-langpack-oc-2.34-231.el9_7.10.x86_64; glibc-langpack-om-2.34-231.el9_7.10.x86_64; glibc-langpack-or-2.34-231.el9_7.10.x86_64; glibc-langpack-os-2.34-231.el9_7.10.x86_64; glibc-langpack-pa-2.34-231.el9_7.10.x86_64; glibc-langpack-pap-2.34-231.el9_7.10.x86_64; glibc-langpack-pl-2.34-231.el9_7.10.x86_64; glibc-langpack-ps-2.34-231.el9_7.10.x86_64; glibc-langpack-pt-2.34-231.el9_7.10.x86_64; glibc-langpack-quz-2.34-231.el9_7.10.x86_64; glibc-langpack-raj-2.34-231.el9_7.10.x86_64; glibc-langpack-ro-2.34-231.el9_7.10.x86_64; glibc-langpack-ru-2.34-231.el9_7.10.x86_64; glibc-langpack-rw-2.34-231.el9_7.10.x86_64; glibc-langpack-sa-2.34-231.el9_7.10.x86_64; glibc-langpack-sah-2.34-231.el9_7.10.x86_64; glibc-langpack-sat-2.34-231.el9_7.10.x86_64; glibc-langpack-sc-2.34-231.el9_7.10.x86_64; glibc-langpack-sd-2.34-231.el9_7.10.x86_64; glibc-langpack-se-2.34-231.el9_7.10.x86_64; glibc-langpack-sgs-2.34-231.el9_7.10.x86_64; glibc-langpack-shn-2.34-231.el9_7.10.x86_64; glibc-langpack-shs-2.34-231.el9_7.10.x86_64; glibc-langpack-si-2.34-231.el9_7.10.x86_64; glibc-langpack-sid-2.34-231.el9_7.10.x86_64; glibc-langpack-sk-2.34-231.el9_7.10.x86_64; glibc-langpack-sl-2.34-231.el9_7.10.x86_64; glibc-langpack-sm-2.34-231.el9_7.10.x86_64; glibc-langpack-so-2.34-231.el9_7.10.x86_64; glibc-langpack-sq-2.34-231.el9_7.10.x86_64; glibc-langpack-sr-2.34-231.el9_7.10.x86_64; glibc-langpack-ss-2.34-231.el9_7.10.x86_64; glibc-langpack-st-2.34-231.el9_7.10.x86_64; glibc-langpack-sv-2.34-231.el9_7.10.x86_64; glibc-langpack-sw-2.34-231.el9_7.10.x86_64; glibc-langpack-szl-2.34-231.el9_7.10.x86_64; glibc-langpack-ta-2.34-231.el9_7.10.x86_64; glibc-langpack-tcy-2.34-231.el9_7.10.x86_64; glibc-langpack-te-2.34-231.el9_7.10.x86_64; glibc-langpack-tg-2.34-231.el9_7.10.x86_64; glibc-langpack-th-2.34-231.el9_7.10.x86_64; glibc-langpack-the-2.34-231.el9_7.10.x86_64; glibc-langpack-ti-2.34-231.el9_7.10.x86_64; glibc-langpack-tig-2.34-231.el9_7.10.x86_64; glibc-langpack-tk-2.34-231.el9_7.10.x86_64; glibc-langpack-tl-2.34-231.el9_7.10.x86_64; glibc-langpack-tn-2.34-231.el9_7.10.x86_64; glibc-langpack-to-2.34-231.el9_7.10.x86_64; glibc-langpack-tpi-2.34-231.el9_7.10.x86_64; glibc-langpack-tr-2.34-231.el9_7.10.x86_64; glibc-langpack-ts-2.34-231.el9_7.10.x86_64; glibc-langpack-tt-2.34-231.el9_7.10.x86_64; glibc-langpack-ug-2.34-231.el9_7.10.x86_64; glibc-langpack-uk-2.34-231.el9_7.10.x86_64; glibc-langpack-unm-2.34-231.el9_7.10.x86_64; glibc-langpack-ur-2.34-231.el9_7.10.x86_64; glibc-langpack-uz-2.34-231.el9_7.10.x86_64; glibc-langpack-ve-2.34-231.el9_7.10.x86_64; glibc-langpack-vi-2.34-231.el9_7.10.x86_64; glibc-langpack-wa-2.34-231.el9_7.10.x86_64; glibc-langpack-wae-2.34-231.el9_7.10.x86_64; glibc-langpack-wal-2.34-231.el9_7.10.x86_64; glibc-langpack-wo-2.34-231.el9_7.10.x86_64; glibc-langpack-xh-2.34-231.el9_7.10.x86_64; glibc-langpack-yi-2.34-231.el9_7.10.x86_64; glibc-langpack-yo-2.34-231.el9_7.10.x86_64; glibc-langpack-yue-2.34-231.el9_7.10.x86_64; glibc-langpack-yuw-2.34-231.el9_7.10.x86_64; glibc-langpack-zh-2.34-231.el9_7.10.x86_64; glibc-langpack-zu-2.34-231.el9_7.10.x86_64; glibc-locale-source-2.34-231.el9_7.10.x86_64; glibc-minimal-langpack-2.34-231.el9_7.10.x86_64; glibc-nss-devel-2.34-231.el9_7.10.x86_64; glibc-static-2.34-231.el9_7.10.x86_64; glibc-utils-2.34-231.el9_7.10.x86_64; glibc-utils-debuginfo-2.34-231.el9_7.10.x86_64; libnsl-2.34-231.el9_7.10.x86_64; libnsl-debuginfo-2.34-231.el9_7.10.x86_64; nscd-2.34-231.el9_7.10.x86_64; nscd-debuginfo-2.34-231.el9_7.10.x86_64; nss_db-2.34-231.el9_7.10.x86_64; nss_db-debuginfo-2.34-231.el9_7.10.x86_64; nss_hesiod-2.34-231.el9_7.10.x86_64; nss_hesiod-debuginfo-2.34-231.el9_7.10.x86_64","N/A"
"RHSA-2026:0719","N/A","N/A","gnupg2-2.3.3-5.el9_7.x86_64; gnupg2-debuginfo-2.3.3-5.el9_7.x86_64; gnupg2-debugsource-2.3.3-5.el9_7.x86_64; gnupg2-smime-2.3.3-5.el9_7.x86_64; gnupg2-smime-debuginfo-2.3.3-5.el9_7.x86_64","N/A"
"RHSA-2026:0927","N/A","N/A","java-17-openjdk-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-debuginfo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-debuginfo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-debugsource-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-debugsource-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-demo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-demo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-demo-fastdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-demo-fastdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-demo-slowdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-demo-slowdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-devel-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-devel-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-devel-debuginfo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-devel-debuginfo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-devel-fastdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-devel-fastdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-devel-fastdebug-debuginfo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-devel-fastdebug-debuginfo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-devel-slowdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-devel-slowdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-devel-slowdebug-debuginfo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-devel-slowdebug-debuginfo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-fastdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-fastdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-fastdebug-debuginfo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-fastdebug-debuginfo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-headless-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-headless-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-headless-debuginfo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-headless-debuginfo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-headless-fastdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-headless-fastdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-headless-fastdebug-debuginfo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-headless-fastdebug-debuginfo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-headless-slowdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-headless-slowdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-headless-slowdebug-debuginfo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-headless-slowdebug-debuginfo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-javadoc-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-javadoc-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-javadoc-zip-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-javadoc-zip-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-jmods-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-jmods-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-jmods-fastdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-jmods-fastdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-jmods-slowdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-jmods-slowdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-slowdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-slowdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-slowdebug-debuginfo-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-slowdebug-debuginfo-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-src-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-src-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-src-fastdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-src-fastdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-src-slowdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-src-slowdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-static-libs-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-static-libs-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-static-libs-fastdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-static-libs-fastdebug-17.0.18.0.8-1.el9.x86_64; java-17-openjdk-static-libs-slowdebug-17.0.18.0.8-1.el8.x86_64; java-17-openjdk-static-libs-slowdebug-17.0.18.0.8-1.el9.x86_64","N/A"
